Patent ID;Al2O3;BaO;Bi2O3;CaO;CeO2;Fe2O3;K2O;La2O3;Li2O;MgO;Na2O;Nb2O5;P2O5;SiO2;SrO;Ta2O5;TiO2;WO3;Y2O3;ZnO;ZrO2
US20240025797A1;0.04;7.99;0;3.4;0;0.01;0.83;0;0;0.08;14.74;14.98;0;49.93;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.99;0;0.86;0;0.01;5.75;0;0;0.03;12.39;14.99;0;49.95;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;7.99;0;5.9;0;0.01;0.82;0;0;0.1;12.26;14.98;0;49.9;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;7.99;0;0.84;0;0.01;8.14;0;0;0.03;9.99;14.99;0;49.96;0.01;0;3;0;0;0;5
US20240025797A1;0.04;7.99;0;0.83;0;0.01;10.52;0;0;0.03;7.63;14.99;0;49.95;0.01;0;3;0;0;0;5
US20240025797A1;0.04;8;0;0.84;0;0.01;12.85;0;0;0.03;5.3;14.99;0;4.95;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;7.99;0;0.83;0;0.01;17.42;0;0;0.03;0.75;14.98;0;49.93;0.01;0;3;0;0;0;5
US20240025797A1;0.04;7.99;0;4.17;0;0.01;6.44;0;0;0.08;8.36;14.98;0;49.93;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.99;0;6.64;0;0.01;4.01;0;0;0.13;8.32;14.97;0;49.9;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.99;0;6.59;0;0.01;6.37;0;0;0.13;6;14.97;0;49.9;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;7.98;0;8.91;0;0.01;8.59;0;0;0.16;1.47;14.96;0;49.89;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.98;0;10.6;0;0.01;3.15;0;0;0.18;5.19;14.96;0;49.88;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;7.98;0;12.81;0;0.01;5.41;0;0;0.21;0.73;14.96;0;49.86;0.01;0;2.99;0;0;0;4.98
US20240025797A1;0.05;4.99;0;0.6;0;0.01;0.39;0;0;0.05;18;14.98;0;49.94;0.01;0;2.99;0;0;0;7.99
US20240025797A1;0.05;4.99;0;0.6;0;0.01;2.77;0;0;0.05;15.6;14.98;0;49.94;0.01;0;3;0;0;0;7.99
US20240025797A1;0.05;4.99;0;4.2;0;0.01;0.4;0;0;0.1;14.39;14.97;0;49.9;0.01;0;3;0;0;0;7.98
US20240025797A1;0.05;4.99;0;2.43;0;0.01;2.79;0;0;0.08;13.75;14.98;0;49.92;0.01;0;3;0;0;0;7.99
US20240025797A1;0.04;5;0;0.61;0;0.01;6.52;0;0;0.05;11.84;14.98;0;49.95;0.01;0;3;0;0;0;7.99
US20240025797A1;0.04;4.99;0;0.63;0;0.01;9.13;0;0;0.05;9.22;14.98;0;49.95;0.01;0;3;0;0;0;7.99
US20240025797A1;0.05;4.99;0;4.39;0;0.01;6.62;0;0;0.1;7.96;14.97;0;49.91;0.01;0;2.99;0;0;0;7.98
US20240025797A1;0.05;4.99;0;6.26;0;0.01;5.36;0;0;0.13;7.34;14.97;0;49.9;0.01;0;2.99;0;0;0;7.98
US20240025797A1;0.05;4.99;0;3.06;0;0.01;4.45;0;0;0.08;11.45;14.98;0;49.93;0.01;0;3;0;0;0;7.99
US20240025797A1;0.05;4.99;0;6.8;0;0.01;3.27;0;0;0.13;8.9;14.96;0;49.89;0.01;0;2.99;0;0;0;7.99
US20240025797A1;0.05;4.99;0;7.9;0;0.01;0.4;0;0;0.15;10.66;14.96;0;49.89;0.01;0;2.99;0;0;0;7.98
US20240025797A1;0.02;7.98;0;4.17;0;0;6.44;0;0;0;8.34;14.98;0;49.92;0.16;0;2.99;0;0;0;4.99
US20240025797A1;0.02;12.15;0;0;0;0;6.43;0;0;0;8.33;14.96;0;49.88;0.25;0;2.99;0;0;0;4.99
US20240025797A1;0.02;12.15;0;0;0;0;6.44;0;0;0;8.33;17.95;0;49.87;0.25;0.01;2.99;0;0;0;1.99
US20240025797A1;0.02;12.15;0;0;0;0;6.44;0;0;0;8.33;14.96;0;49.87;0.25;0;5.98;0;0;0;1.99
US20240025797A1;0.02;12.15;0;0;0.02;0;6.43;2.99;0;0;8.31;14.96;0;49.86;0.25;0.01;3;0;0;0;2
US20240025797A1;0.02;8.47;0;0;0;0;0;0;0;0;16.91;17.33;0;49.9;0.17;0;4.55;0;0;0;2.64
US20240025797A1;0.03;14.34;0;0;0;0;0;0;0;0;10.99;15.82;0;49.83;0.3;0;4.57;0;0;0;4.11
