SiO2,P2O5,ZrO2,Na2O,Al2O3,Fe2O3,CaO,MgO,K2O,B2O3,MnO,BaO,ZnO,GeO2,Li2O,Ta2O5,SrO,CdO,SnO2,La2O3,Ga2O3,Y2O3,TiO2,Nb2O5,PbO,HfO2,WO3,Sb2O3,Bi2O3,Cr2O3,Cu2O,BeO,CuO,Nd2O3,CeO2,Cs2O,As2O3,Rb2O,Eu2O3,MoO3,FeO,Mn2O3,ThO2,Ag2O,MnO2,TeO2,Tl2O,CoO,In2O3,Sc2O3,NiO,V2O5,As2O5,Sm2O3,Gd2O3,Tb2O3,Dy2O3,Er2O3,Yb2O3,SnO,Ce2O3,Pr2O3,VO6,Pr6O11,Ni2O3,V2O3,Lu2O3,HgO,Tm2O3,Nb2O3,Tl2O3,Ta2O3,Tb4O7,n531.9nm,n632.8nm,nd,pn[fornd],predictedrefractiveindex,ri,summarizedrefractiveindex,Origin,_src,IDS
0.0,23.65,0.0,7.13,0.0,0.0,0.0953,4.73,6.86,0.0,0,5.52,0.0,0.0,0.0,0.0403,0.0,0,0,0.0,0,0.0,8.12,43.86,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.006,0.0,0.0,2.006,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-1.csv
0.0,20.97,0.0,1.51,0.0,0.0,3.74,0.0,11.67,0.0,0,5.86,1.4,0.0,1.29,0.0341,0.81,0,0,0.0,0,0.0,14.98,37.74,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.004,0.0,0.0,2.004,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-3.csv
0.0,24.48,0.0,0.0231,0.0,0.0,15.5,0.0,7.49,0.0,0,0.0,0.0,0.0,0.0,0.0259,0.0,0,0,0.0,0,0.0,25.24,27.24,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.967,0.0,0.0,1.967,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-6.csv
0.0,25.0,0.0,3.99,0.0,0.0,5.3,0.0,4.01,0.0,0,5.21,0.0,0.0,3.01,0.0,0.0,0,0,0.0,0,0.0,20.0,32.49,0,0,0.0,0.0,1.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0104,1.9791,1.9905,2.0,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-8.csv
0.0,27.32,0.0,5.39,0.0,0.0,13.68,0.0,13.92,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,14.74,24.93,0,0,0.0,0.0145,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0648,0.0,1.9694,1.945,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-0.csv
0.0,16.24,1.44,0.0,0.0,0.0,1.58,0.0,2.82,0.0,0,18.5,3.27,4.24,2.97,0.0,10.27,0,0,0.0,0,0.0,3.33,21.35,0,0,9.18,0.0,4.19,0,0,0,0,0,0.0,0.63,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.965,0.0,0.0,1.965,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-0.csv
0.0268,24.84,0.0,4.99,0.0,0.0303,4.14,0.0,5.0,0.0,0,3.99,4.99,0.0,5.02,0.0109,0.0,0,0,0.0,0,0.0,11.24,35.73,0,0,0.007,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9638,1.9362,1.9464,1.939,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-0.csv
0.0,25.06,0.0,8.17,0.0,0.0,0.0,0.0,8.85,1.93,0,0.0,0.0,0.0,0.0,0.0,3.45,0,0,0.0,0,0.0,23.66,26.93,0,0,1.93,0.0255,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9678,1.9395,1.95,1.939,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-0.csv
0.0,25.88,0.0,13.0,0.0,0.0,0.0,0.0,2.8,0.0,0,0.0,0.0,0.0,0.0,0.0,2.33,0,0,0.0,0,0.0,31.91,20.59,0,0,3.48,0.0095,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9582,1.931,1.9411,1.926,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-0.csv
1.19,24.2,0.0,13.85,0.0,0.0,0.0,0.0,3.04,4.11,0,1.87,0.0,0.0,0.0,0.0,2.07,0,0,0.0,0,0.0,23.29,26.38,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9582,1.931,1.9411,1.926,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-0.csv
